9, 4, 4_null:8.92, 0, 0.0
9, 5, 5_feature:0.93, 0, 0.0
9, 6, 6_null:9.15, 0, 0.0
9, 7, 7_feature:0.33, 0, 0.0
9, 8, 8_null:9.37, 0, 0.0
9, 9, 9_null:9.84, 0, 0.0
9, 10, 10_feature:0.36, 0, 0.0
9, 11, 11_feature:0.88, 0, 0.0
9, 12, 12_null:9.49, 0, 0.0
9, 13, 13_x2:0.00, 7, 1.424257142857143
10, 1, 1_null:-4.27, 0, 0.0
10, 2, 2_null:8.36, 0, 0.0
10, 3, 3_feature:0.29, 0, 0.0
10, 4, 4_null:8.92, 0, 0.0
10, 5, 5_feature:0.93, 0, 0.0
10, 6, 6_null:9.15, 0, 0.0
10, 7, 7_feature:0.33, 0, 0.0
10, 8, 8_null:9.37, 0, 0.0
10, 9, 9_null:9.84, 0, 0.0
10, 10, 10_feature:0.36, 0, 0.0
10, 11, 11_feature:0.88, 0, 0.0
10, 12, 12_null:9.57, 0, 0.0
10, 13, 13_x2:0.00, 100, 1.557599999999999
11, 1, 1_null:-4.27, 0, 0.0
11, 2, 2_null:8.36, 0, 0.0
11, 3, 3_feature:0.29, 0, 0.0
11, 4, 4_null:8.92, 0, 0.0
11, 5, 5_feature:0.93, 0, 0.0
11, 6, 6_null:9.15, 0, 0.0
11, 7, 7_feature:0.33, 0, 0.0
11, 8, 8_null:9.37, 0, 0.0
11, 9, 9_null:9.84, 0, 0.0
11, 10, 10_feature:0.36, 0, 0.0
11, 11, 11_feature:0.88, 0, 0.0
11, 12, 12_null:9.57, 0, 0.0
11, 13, 13_feature:0.40, 0, 0.0
11, 14, 14_feature:0.46, 0, 0.0
11, 15, 15_x2:0.00, 7, 1.3602000000000003
12, 1, 1_null:-4.27, 0, 0.0
12, 2, 2_null:8.36, 0, 0.0
12, 3, 3_feature:0.29, 0, 0.0
12, 4, 4_null:8.92, 0, 0.0
12, 5, 5_feature:0.93, 0, 0.0
12, 6, 6_null:9.15, 0, 0.0
12, 7, 7_feature:0.33, 0, 0.0
12, 8, 8_null:9.37, 0, 0.0
12, 9, 9_null:9.84, 0, 0.0
12, 10, 10_feature:0.36, 0, 0.0
12, 11, 11_feature:0.88, 0, 0.0
12, 12, 12_null:9.57, 0, 0.0
12, 13, 13_feature:0.40, 0, 0.0
12, 14, 14_feature:0.46, 0, 0.0
12, 15, 15_feature:0.47, 0, 0.0
12, 16, 16_x2:0.00, 6, 1.509666666666667
13, 1, 1_null:-4.27, 0, 0.0
13, 2, 2_null:8.36, 0, 0.0
13, 3, 3_feature:0.29, 0, 0.0
13, 4, 4_null:8.92, 0, 0.0
13, 5, 5_feature:0.93, 0, 0.0
13, 6, 6_null:9.15, 0, 0.0
13, 7, 7_feature:0.33, 0, 0.0
13, 8, 8_null:9.37, 0, 0.0
13, 9, 9_null:9.84, 0, 0.0
13, 10, 10_feature:0.36, 0, 0.0
13, 11, 11_feature:0.88, 0, 0.0
13, 12, 12_null:9.57, 0, 0.0
13, 13, 13_feature:0.40, 0, 0.0
13, 14, 14_feature:0.46, 0, 0.0
13, 15, 15_feature:0.47, 0, 0.0
13, 16, 16_null:9.61, 0, 0.0
13, 17, 17_x2:0.00, 58, 1.3602000000000007
14, 1, 1_null:-4.27, 0, 0.0
14, 2, 2_null:8.36, 0, 0.0
14, 3, 3_feature:0.29, 0, 0.0
14, 4, 4_null:8.92, 0, 0.0
14, 5, 5_feature:0.93, 0, 0.0
14, 6, 6_null:9.15, 0, 0.0
14, 7, 7_feature:0.33, 0, 0.0
14, 8, 8_null:9.37, 0, 0.0
14, 9, 9_null:9.84, 0, 0.0
14, 10, 10_feature:0.36, 0, 0.0
14, 11, 11_feature:0.88, 0, 0.0
14, 12, 12_null:9.57, 0, 0.0
14, 13, 13_feature:0.40, 0, 0.0
14, 14, 14_feature:0.46, 0, 0.0
14, 15, 15_feature:0.47, 0, 0.0
14, 16, 16_null:9.61, 0, 0.0
14, 17, 17_x2:0.00, 35, 1.5844000000000007
15, 1, 1_null:-4.27, 0, 0.0
15, 2, 2_null:8.36, 0, 0.0
15, 3, 3_feature:0.29, 0, 0.0
15, 4, 4_null:8.92, 0, 0.0
15, 5, 5_feature:0.93, 0, 0.0
15, 6, 6_null:9.15, 0, 0.0
15, 7, 7_feature:0.33, 0, 0.0
15, 8, 8_null:9.37, 0, 0.0
15, 9, 9_null:9.84, 0, 0.0
15, 10, 10_feature:0.36, 0, 0.0
15, 11, 11_feature:0.88, 0, 0.0
15, 12, 12_null:9.57, 0, 0.0
15, 13, 13_feature:0.40, 0, 0.0
15, 14, 14_feature:0.37, 0, 0.0
15, 15, 15_x2:0.00, 3, 1.5096666666666667
16, 1, 1_null:-4.27, 0, 0.0
16, 2, 2_null:8.36, 0, 0.0
16, 3, 3_feature:0.29, 0, 0.0
16, 4, 4_null:8.92, 0, 0.0
16, 5, 5_feature:0.93, 0, 0.0
16, 6, 6_null:9.15, 0, 0.0
16, 7, 7_feature:0.33, 0, 0.0
16, 8, 8_null:9.37, 0, 0.0
16, 9, 9_null:9.84, 0, 0.0
16, 10, 10_feature:0.36, 0, 0.0
16, 11, 11_feature:0.88, 0, 0.0
16, 12, 12_null:9.57, 0, 0.0
16, 13, 13_feature:0.40, 0, 0.0
16, 14, 14_feature:0.37, 0, 0.0
16, 15, 15_null:9.68, 0, 0.0
16, 16, 16_x2:0.00, 9, 1.3602000000000003
17, 1, 1_null:-4.27, 0, 0.0
17, 2, 2_null:8.36, 0, 0.0
17, 3, 3_feature:0.29, 0, 0.0
17, 4, 4_null:8.92, 0, 0.0
17, 5, 5_feature:0.93, 0, 0.0
17, 6, 6_null:9.15, 0, 0.0
17, 7, 7_feature:0.33, 0, 0.0
17, 8, 8_null:9.37, 0, 0.0
17, 9, 9_null:9.84, 0, 0.0
17, 10, 10_feature:0.36, 0, 0.0
17, 11, 11_feature:0.88, 0, 0.0
17, 12, 12_null:9.57, 0, 0.0
17, 13, 13_feature:0.40, 0, 0.0
17, 14, 14_feature:0.37, 0, 0.0
17, 15, 15_null:9.68, 0, 0.0
17, 16, 16_x2:0.00, 8, 1.5844000000000003
18, 1, 1_null:-4.27, 0, 0.0
18, 2, 2_null:8.36, 0, 0.0
18, 3, 3_feature:0.29, 0, 0.0
18, 4, 4_null:8.92, 0, 0.0
18, 5, 5_feature:0.93, 0, 0.0
18, 6, 6_null:9.15, 0, 0.0
18, 7, 7_feature:0.33, 0, 0.0
18, 8, 8_null:9.37, 0, 0.0
18, 9, 9_null:9.84, 0, 0.0
18, 10, 10_feature:0.36, 0, 0.0
18, 11, 11_feature:0.36, 0, 0.0
18, 12, 12_x2:0.00, 6, 1.4304666666666668
19, 1, 1_null:-4.27, 0, 0.0
19, 2, 2_null:8.36, 0, 0.0
19, 3, 3_feature:0.29, 0, 0.0
19, 4, 4_null:8.92, 0, 0.0
19, 5, 5_feature:0.93, 0, 0.0
19, 6, 6_null:9.15, 0, 0.0
19, 7, 7_feature:0.33, 0, 0.0
19, 8, 8_null:9.37, 0, 0.0
19, 9, 9_null:9.84, 0, 0.0
19, 10, 10_feature:0.36, 0, 0.0
19, 11, 11_feature:0.36, 0, 0.0
19, 12, 12_feature:0.34, 0, 0.0
19, 13, 13_x2:0.00, 8, 1.4589000000000003
20, 1, 1_null:-4.27, 0, 0.0
20, 2, 2_null:8.36, 0, 0.0
20, 3, 3_feature:0.29, 0, 0.0
20, 4, 4_null:8.92, 0, 0.0
20, 5, 5_feature:0.93, 0, 0.0
20, 6, 6_null:9.15, 0, 0.0
20, 7, 7_feature:0.33, 0, 0.0
20, 8, 8_null:9.37, 0, 0.0
20, 9, 9_null:9.84, 0, 0.0
20, 10, 10_feature:0.36, 0, 0.0
20, 11, 11_feature:0.36, 0, 0.0
20, 12, 12_feature:0.34, 0, 0.0
20, 13, 13_feature:0.36, 0, 0.0
20, 14, 14_x2:0.00, 1, 1.5576
21, 1, 1_null:-4.27, 0, 0.0
21, 2, 2_null:8.36, 0, 0.0
21, 3, 3_feature:0.29, 0, 0.0
21, 4, 4_null:8.92, 0, 0.0
21, 5, 5_feature:0.93, 0, 0.0
21, 6, 6_null:9.15, 0, 0.0
21, 7, 7_feature:0.33, 0, 0.0
21, 8, 8_null:9.37, 0, 0.0
21, 9, 9_null:9.84, 0, 0.0
21, 10, 10_feature:0.36, 0, 0.0
21, 11, 11_feature:0.36, 0, 0.0
21, 12, 12_feature:0.34, 0, 0.0
21, 13, 13_feature:0.36, 0, 0.0
21, 14, 14_null:9.64, 0, 0.0
21, 15, 15_x2:0.00, 8, 1.4342250000000003
22, 1, 1_null:-4.27, 0, 0.0
22, 2, 2_null:8.36, 0, 0.0
22, 3, 3_feature:0.29, 0, 0.0
22, 4, 4_null:8.92, 0, 0.0
22, 5, 5_feature:0.93, 0, 0.0
22, 6, 6_null:9.15, 0, 0.0
22, 7, 7_feature:0.33, 0, 0.0
22, 8, 8_null:9.37, 0, 0.0
22, 9, 9_null:9.84, 0, 0.0
22, 10, 10_feature:0.36, 0, 0.0
22, 11, 11_feature:0.36, 0, 0.0
22, 12, 12_feature:0.34, 0, 0.0
22, 13, 13_feature:0.36, 0, 0.0
22, 14, 14_null:9.64, 0, 0.0
22, 15, 15_x2:0.00, 5, 1.5844
23, 1, 1_null:-4.27, 0, 0.0
23, 2, 2_null:8.36, 0, 0.0
23, 3, 3_feature:0.29, 0, 0.0
23, 4, 4_null:8.92, 0, 0.0
23, 5, 5_feature:0.93, 0, 0.0
23, 6, 6_null:9.15, 0, 0.0
23, 7, 7_feature:0.33, 0, 0.0
23, 8, 8_feature:0.33, 0, 0.0
23, 9, 9_x2:0.00, 7, 1.5889000000000002
24, 1, 1_null:-4.27, 0, 0.0
24, 2, 2_null:8.36, 0, 0.0
24, 3, 3_feature:0.29, 0, 0.0
24, 4, 4_null:8.92, 0, 0.0
24, 5, 5_feature:0.93, 0, 0.0
24, 6, 6_null:9.15, 0, 0.0
24, 7, 7_feature:0.33, 0, 0.0
24, 8, 8_feature:0.33, 0, 0.0
24, 9, 9_x2:0.00, 5, 1.43916
25, 1, 1_null:-4.27, 0, 0.0
25, 2, 2_null:8.36, 0, 0.0
25, 3, 3_feature:0.29, 0, 0.0
25, 4, 4_null:8.92, 0, 0.0
25, 5, 5_feature:0.93, 0, 0.0
25, 6, 6_feature:0.97, 0, 0.0
25, 7, 7_x2:0.00, 9, 4.764333333333334
26, 1, 1_null:-4.27, 0, 0.0
26, 2, 2_null:8.36, 0, 0.0
26, 3, 3_feature:0.29, 0, 0.0
26, 4, 4_null:8.92, 0, 0.0
26, 5, 5_feature:0.93, 0, 0.0
26, 6, 6_feature:0.97, 0, 0.0
26, 7, 7_x2:0.00, 1, 4.0382
27, 1, 1_null:-4.27, 0, 0.0
27, 2, 2_null:8.36, 0, 0.0
27, 3, 3_feature:0.29, 0, 0.0
27, 4, 4_null:8.92, 0, 0.0
27, 5, 5_feature:0.93, 0, 0.0
27, 6, 6_feature:0.63, 0, 0.0
27, 7, 7_feature:0.82, 0, 0.0
27, 8, 8_feature:0.84, 0, 0.0
27, 9, 9_null:8.42, 0, 0.0
27, 10, 10_x2:0.00, 16, 6.2222
28, 1, 1_null:-4.27, 0, 0.0
28, 2, 2_null:8.36, 0, 0.0
28, 3, 3_feature:0.29, 0, 0.0
28, 4, 4_null:8.92, 0, 0.0
28, 5, 5_feature:0.93, 0, 0.0
28, 6, 6_feature:0.63, 0, 0.0
28, 7, 7_feature:0.82, 0, 0.0
28, 8, 8_feature:0.84, 0, 0.0
28, 9, 9_null:8.42, 0, 0.0
28, 10, 10_null:8.78, 0, 0.0
28, 11, 11_x2:0.00, 27, 4.971800000000001
29, 1, 1_null:-4.27, 0, 0.0
29, 2, 2_null:8.36, 0, 0.0
29, 3, 3_feature:0.29, 0, 0.0
29, 4, 4_null:8.92, 0, 0.0
29, 5, 5_feature:0.93, 0, 0.0
29, 6, 6_feature:0.63, 0, 0.0
29, 7, 7_feature:0.82, 0, 0.0
29, 8, 8_feature:0.84, 0, 0.0
29, 9, 9_null:8.42, 0, 0.0
29, 10, 10_null:8.78, 0, 0.0
29, 11, 11_x2:0.00, 4, 4.0382
30, 1, 1_null:-4.27, 0, 0.0
30, 2, 2_null:8.36, 0, 0.0
30, 3, 3_feature:0.29, 0, 0.0
30, 4, 4_null:8.92, 0, 0.0
30, 5, 5_feature:0.93, 0, 0.0
30, 6, 6_feature:0.63, 0, 0.0
30, 7, 7_feature:0.82, 0, 0.0
30, 8, 8_feature:0.84, 0, 0.0
30, 9, 9_null:8.47, 0, 0.0
30, 10, 10_x2:0.00, 6, 6.2222
31, 1, 1_null:-4.27, 0, 0.0
31, 2, 2_null:8.36, 0, 0.0
31, 3, 3_feature:0.29, 0, 0.0
31, 4, 4_null:8.92, 0, 0.0
31, 5, 5_feature:0.93, 0, 0.0
31, 6, 6_feature:0.63, 0, 0.0
31, 7, 7_feature:0.82, 0, 0.0
31, 8, 8_feature:0.84, 0, 0.0
31, 9, 9_null:8.47, 0, 0.0
31, 10, 10_x2:0.00, 5, 4.9718
32, 1, 1_null:-4.27, 0, 0.0
32, 2, 2_null:8.36, 0, 0.0
32, 3, 3_feature:0.29, 0, 0.0
32, 4, 4_null:8.92, 0, 0.0
32, 5, 5_feature:0.93, 0, 0.0
32, 6, 6_feature:0.63, 0, 0.0
32, 7, 7_feature:0.82, 0, 0.0
32, 8, 8_feature:0.78, 0, 0.0
32, 9, 9_feature:0.80, 0, 0.0
32, 10, 10_x2:0.00, 6, 4.505
33, 1, 1_null:-4.27, 0, 0.0
33, 2, 2_null:8.36, 0, 0.0
33, 3, 3_feature:0.29, 0, 0.0
33, 4, 4_null:8.92, 0, 0.0
33, 5, 5_feature:0.93, 0, 0.0
33, 6, 6_feature:0.63, 0, 0.0
33, 7, 7_feature:0.82, 0, 0.0
33, 8, 8_feature:0.78, 0, 0.0
33, 9, 9_feature:0.80, 0, 0.0
33, 10, 10_null:8.63, 0, 0.0
33, 11, 11_x2:0.00, 2, 4.0382
34, 1, 1_null:-4.27, 0, 0.0
34, 2, 2_null:8.36, 0, 0.0
34, 3, 3_feature:0.29, 0, 0.0
34, 4, 4_null:8.92, 0, 0.0
34, 5, 5_feature:0.93, 0, 0.0
34, 6, 6_feature:0.63, 0, 0.0
34, 7, 7_feature:0.82, 0, 0.0
34, 8, 8_feature:0.78, 0, 0.0
34, 9, 9_feature:0.80, 0, 0.0
34, 10, 10_null:8.63, 0, 0.0
34, 11, 11_feature:0.81, 0, 0.0
34, 12, 12_x2:0.00, 2, 5.5969999999999995
35, 1, 1_null:-4.27, 0, 0.0
35, 2, 2_null:8.36, 0, 0.0
35, 3, 3_feature:0.29, 0, 0.0
35, 4, 4_null:8.92, 0, 0.0
35, 5, 5_feature:0.93, 0, 0.0
35, 6, 6_feature:0.63, 0, 0.0
35, 7, 7_feature:0.82, 0, 0.0
35, 8, 8_feature:0.78, 0, 0.0
35, 9, 9_feature:0.80, 0, 0.0
35, 10, 10_null:8.63, 0, 0.0
35, 11, 11_feature:0.81, 0, 0.0
35, 12, 12_x2:0.00, 11, 4.971800000000001
36, 1, 1_null:-4.27, 0, 0.0
36, 2, 2_null:8.36, 0, 0.0
36, 3, 3_feature:0.29, 0, 0.0
36, 4, 4_null:8.92, 0, 0.0
36, 5, 5_feature:0.93, 0, 0.0
36, 6, 6_feature:0.63, 0, 0.0
36, 7, 7_feature:0.82, 0, 0.0
36, 8, 8_feature:0.78, 0, 0.0
36, 9, 9_feature:0.75, 0, 0.0
36, 10, 10_x2:0.00, 4, 5.9096
37, 1, 1_null:-4.27, 0, 0.0
37, 2, 2_null:8.36, 0, 0.0
37, 3, 3_feature:0.29, 0, 0.0
37, 4, 4_null:8.92, 0, 0.0
37, 5, 5_feature:0.93, 0, 0.0
37, 6, 6_feature:0.63, 0, 0.0
37, 7, 7_feature:0.82, 0, 0.0
37, 8, 8_feature:0.78, 0, 0.0
37, 9, 9_feature:0.75, 0, 0.0
37, 10, 10_feature:0.67, 0, 0.0
37, 11, 11_x2:0.00, 6, 4.6606
38, 1, 1_null:-4.27, 0, 0.0
38, 2, 2_null:8.36, 0, 0.0
38, 3, 3_feature:0.29, 0, 0.0
38, 4, 4_null:8.92, 0, 0.0
38, 5, 5_feature:0.93, 0, 0.0
38, 6, 6_feature:0.63, 0, 0.0
38, 7, 7_feature:0.82, 0, 0.0
38, 8, 8_feature:0.78, 0, 0.0
38, 9, 9_feature:0.75, 0, 0.0
38, 10, 10_feature:0.67, 0, 0.0
38, 11, 11_null:8.50, 0, 0.0
38, 12, 12_x2:0.00, 20, 6.2222
39, 1, 1_null:-4.27, 0, 0.0
39, 2, 2_null:8.36, 0, 0.0
39, 3, 3_feature:0.29, 0, 0.0
39, 4, 4_null:8.92, 0, 0.0
39, 5, 5_feature:0.93, 0, 0.0
39, 6, 6_feature:0.63, 0, 0.0
39, 7, 7_feature:0.82, 0, 0.0
39, 8, 8_feature:0.78, 0, 0.0
39, 9, 9_feature:0.75, 0, 0.0
39, 10, 10_feature:0.67, 0, 0.0
39, 11, 11_null:8.50, 0, 0.0
39, 12, 12_null:8.69, 0, 0.0
39, 13, 13_x2:0.00, 23, 4.971800000000001
40, 1, 1_null:-4.27, 0, 0.0
40, 2, 2_null:8.36, 0, 0.0
40, 3, 3_feature:0.29, 0, 0.0
40, 4, 4_null:8.92, 0, 0.0
40, 5, 5_feature:0.93, 0, 0.0
40, 6, 6_feature:0.63, 0, 0.0
40, 7, 7_feature:0.82, 0, 0.0
40, 8, 8_feature:0.78, 0, 0.0
40, 9, 9_feature:0.75, 0, 0.0
40, 10, 10_feature:0.67, 0, 0.0
40, 11, 11_null:8.50, 0, 0.0
40, 12, 12_null:8.69, 0, 0.0
40, 13, 13_x2:0.00, 15, 4.038200000000002
41, 1, 1_null:-4.27, 0, 0.0
41, 2, 2_null:8.36, 0, 0.0
41, 3, 3_feature:0.29, 0, 0.0
41, 4, 4_null:8.92, 0, 0.0
41, 5, 5_feature:0.93, 0, 0.0
41, 6, 6_feature:0.63, 0, 0.0
41, 7, 7_feature:0.61, 0, 0.0
41, 8, 8_x2:0.00, 2, 6.2222
42, 1, 1_null:-4.27, 0, 0.0
42, 2, 2_null:8.36, 0, 0.0
42, 3, 3_feature:0.29, 0, 0.0
42, 4, 4_null:8.92, 0, 0.0
42, 5, 5_feature:0.93, 0, 0.0
42, 6, 6_feature:0.63, 0, 0.0
42, 7, 7_feature:0.61, 0, 0.0
42, 8, 8_feature:0.54, 0, 0.0
42, 9, 9_feature:0.58, 0, 0.0
42, 10, 10_null:8.44, 0, 0.0
42, 11, 11_x2:0.00, 3, 6.2222
43, 1, 1_null:-4.27, 0, 0.0
43, 2, 2_null:8.36, 0, 0.0
43, 3, 3_feature:0.29, 0, 0.0
43, 4, 4_null:8.92, 0, 0.0
43, 5, 5_feature:0.93, 0, 0.0
43, 6, 6_feature:0.63, 0, 0.0
43, 7, 7_feature:0.61, 0, 0.0
43, 8, 8_feature:0.54, 0, 0.0
43, 9, 9_feature:0.58, 0, 0.0
43, 10, 10_null:8.44, 0, 0.0
43, 11, 11_x2:0.00, 9, 4.764333333333334
44, 1, 1_null:-4.27, 0, 0.0
44, 2, 2_null:8.36, 0, 0.0
44, 3, 3_feature:0.29, 0, 0.0
44, 4, 4_null:8.92, 0, 0.0
44, 5, 5_feature:0.93, 0, 0.0
44, 6, 6_feature:0.63, 0, 0.0
44, 7, 7_feature:0.61, 0, 0.0
44, 8, 8_feature:0.54, 0, 0.0
44, 9, 9_feature:0.58, 0, 0.0
44, 10, 10_feature:0.58, 0, 0.0
44, 11, 11_x2:0.00, 2, 6.2222
45, 1, 1_null:-4.27, 0, 0.0
45, 2, 2_null:8.36, 0, 0.0
45, 3, 3_feature:0.29, 0, 0.0
45, 4, 4_null:8.92, 0, 0.0
45, 5, 5_feature:0.93, 0, 0.0
45, 6, 6_feature:0.63, 0, 0.0
45, 7, 7_feature:0.61, 0, 0.0
45, 8, 8_feature:0.54, 0, 0.0
45, 9, 9_feature:0.58, 0, 0.0
45, 10, 10_feature:0.58, 0, 0.0
45, 11, 11_feature:0.58, 0, 0.0
45, 12, 12_x2:0.00, 2, 4.505
46, 1, 1_null:-4.27, 0, 0.0
46, 2, 2_null:8.36, 0, 0.0
46, 3, 3_feature:0.29, 0, 0.0
46, 4, 4_null:8.92, 0, 0.0
46, 5, 5_feature:0.93, 0, 0.0
46, 6, 6_feature:0.63, 0, 0.0
46, 7, 7_feature:0.61, 0, 0.0
46, 8, 8_feature:0.54, 0, 0.0
46, 9, 9_feature:0.58, 0, 0.0
46, 10, 10_feature:0.58, 0, 0.0
46, 11, 11_feature:0.58, 0, 0.0
46, 12, 12_null:8.51, 0, 0.0
46, 13, 13_x2:0.00, 15, 6.2222
47, 1, 1_null:-4.27, 0, 0.0
47, 2, 2_null:8.36, 0, 0.0
47, 3, 3_feature:0.29, 0, 0.0
47, 4, 4_null:8.92, 0, 0.0
47, 5, 5_feature:0.93, 0, 0.0
47, 6, 6_feature:0.63, 0, 0.0
47, 7, 7_feature:0.61, 0, 0.0
47, 8, 8_feature:0.54, 0, 0.0
47, 9, 9_feature:0.58, 0, 0.0
47, 10, 10_feature:0.58, 0, 0.0
47, 11, 11_feature:0.58, 0, 0.0
47, 12, 12_null:8.51, 0, 0.0
47, 13, 13_x2:0.00, 16, 4.971800000000001
48, 1, 1_null:-4.27, 0, 0.0
48, 2, 2_null:8.36, 0, 0.0
48, 3, 3_feature:0.29, 0, 0.0
48, 4, 4_null:8.92, 0, 0.0
48, 5, 5_feature:0.93, 0, 0.0
48, 6, 6_feature:0.63, 0, 0.0
48, 7, 7_feature:0.61, 0, 0.0
48, 8, 8_feature:0.54, 0, 0.0
48, 9, 9_feature:0.53, 0, 0.0
48, 10, 10_x2:0.00, 4, 4.505
49, 1, 1_null:-4.27, 0, 0.0
49, 2, 2_null:8.36, 0, 0.0
49, 3, 3_feature:0.29, 0, 0.0
49, 4, 4_null:8.92, 0, 0.0
49, 5, 5_feature:0.93, 0, 0.0
49, 6, 6_feature:0.63, 0, 0.0
49, 7, 7_feature:0.61, 0, 0.0
49, 8, 8_feature:0.54, 0, 0.0
49, 9, 9_feature:0.53, 0, 0.0
49, 10, 10_null:8.44, 0, 0.0
49, 11, 11_x2:0.00, 53, 6.222199999999992
50, 1, 1_null:-4.27, 0, 0.0
50, 2, 2_null:8.36, 0, 0.0
50, 3, 3_feature:0.29, 0, 0.0
50, 4, 4_null:8.92, 0, 0.0
50, 5, 5_feature:0.93, 0, 0.0
50, 6, 6_feature:0.63, 0, 0.0
50, 7, 7_feature:0.61, 0, 0.0
50, 8, 8_feature:0.54, 0, 0.0
50, 9, 9_feature:0.53, 0, 0.0
50, 10, 10_null:8.44, 0, 0.0
50, 11, 11_null:8.62, 0, 0.0
50, 12, 12_x2:0.00, 53, 4.9718
51, 1, 1_null:-4.27, 0, 0.0
51, 2, 2_null:8.36, 0, 0.0
51, 3, 3_feature:0.29, 0, 0.0
51, 4, 4_null:8.92, 0, 0.0
51, 5, 5_feature:0.93, 0, 0.0
51, 6, 6_feature:0.63, 0, 0.0
51, 7, 7_feature:0.61, 0, 0.0
51, 8, 8_feature:0.54, 0, 0.0
51, 9, 9_feature:0.53, 0, 0.0
51, 10, 10_null:8.44, 0, 0.0
51, 11, 11_null:8.62, 0, 0.0
51, 12, 12_x2:0.00, 24, 4.0382000000000025
52, 1, 1_null:-4.27, 0, 0.0
52, 2, 2_null:8.36, 0, 0.0
52, 3, 3_feature:0.29, 0, 0.0
52, 4, 4_null:8.83, 0, 0.0
52, 5, 5_null:9.10, 0, 0.0
52, 6, 6_null:9.35, 0, 0.0
52, 7, 7_feature:0.25, 0, 0.0
52, 8, 8_null:9.99, 0, 0.0
52, 9, 9_x2:0.00, 12, 2.2206000000000006
53, 1, 1_null:-4.27, 0, 0.0
53, 2, 2_null:8.36, 0, 0.0
53, 3, 3_feature:0.29, 0, 0.0
53, 4, 4_null:8.83, 0, 0.0
53, 5, 5_null:9.10, 0, 0.0
53, 6, 6_null:9.35, 0, 0.0
53, 7, 7_feature:0.25, 0, 0.0
53, 8, 8_null:9.99, 0, 0.0
53, 9, 9_null:9.79, 0, 0.0
53, 10, 10_x2:0.00, 17, 1.5843999999999998
